title,category,city,address,contact,description,price,source,source_url
"马德里正新鸡排","服务","Madrid","C. de Gabino Jimeno, 4, Usera, 28026 Madrid","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：马德里正新鸡排。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_416.html"
"Mini Yeah 迷你椰 泰式大排档","服务","Madrid","C. de Dolores Barranco, 46, Usera, 28026 Madrid","919487722","平台代登记商家信息，商家待认领。服务范围：泰式大排档。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_415.html"
"御琳阁茶庄","服务","Madrid","C. Villablino, 27, nave 5, 28947 Fuenlabrada, Madrid","625269902","平台代登记商家信息，商家待认领。服务范围：茶庄。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_413.html"
"广州通华国际物流","服务","Madrid","","13609751889","平台代登记商家信息，商家待认领。服务范围：广州通华国际物流。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_412.html"
"FLORA TEA 花开几叶西班牙","服务","Madrid","CALLE DE SILVA 2，28013 MADRID ESPAÑA","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：FLORA TEA 花开几叶西班牙。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_407.html"
"符号旅游","服务","Madrid","Paseo Quince De Mayo,2, 1-1, 28019","34919471812","平台代登记商家信息，商家待认领。服务范围：西班牙旅行社。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_405.html"
"美洁家华人旅馆","服务","Madrid","Calle Nicolás shanchez 18","688591333","平台代登记商家信息，商家待认领。服务范围：天租，月租。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_403.html"
"馬德里華人牙醫威力醫生","服务","Madrid","","697248865","平台代登记商家信息，商家待认领。服务范围：口腔醫學診斷治療 蛀牙 拔牙 根管治療 植牙 矯正。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_402.html"
"全球进口快递UPS,FEDEX,香港，中国大陆。现特价优惠3折","服务","Madrid","","15976565063","平台代登记商家信息，商家待认领。服务范围：全球进口香港，全球进口中国大陆。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_386.html"
"马德里7座专车","服务","Madrid","马德里","677132822","平台代登记商家信息，商家待认领。服务范围：接送，搬家。资料线索来自公开黄页 soufun.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","soufun.es","https://www.soufun.es/114_383.html"
"EUNO专业广告屏幕生产厂商","生意","Barcelona","carrer fluvia 123, 08019, Barcelona, Barcelona,","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：广告装修。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/euno%e4%b8%93%e4%b8%9a%e5%b9%bf%e5%91%8a%e5%b1%8f%e5%b9%95%e7%94%9f%e4%ba%a7%e5%8e%82%e5%95%86/"
"TOYS OUTLET 流行玩具批发","生意","Barcelona","Carrer de Copenhaguen, 285, 08206 Sabadell, Barcelona","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：儿童用品。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/toys-outlet-%e6%b5%81%e8%a1%8c%e7%8e%a9%e5%85%b7%e6%89%b9%e5%8f%91/"
"CREMAGUADA宠物火葬服务","服务","Madrid","Calle Francisco de Medina y Mendoza 41, polígono 2, parcela 19, nave 3B Cabanillas del Campo, Guadalajara","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：服务行业。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/cremaguada%e5%ae%a0%e7%89%a9%e7%81%ab%e8%91%ac%e6%9c%8d%e5%8a%a1/"
"EUROCKA环保电动摩托车","服务","Madrid","C. Águila, 5, 28946 Fuenlabrada, Madrid","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：休闲娱乐。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/eurocka%e7%8e%af%e4%bf%9d%e7%94%b5%e5%8a%a8%e6%91%a9%e6%89%98%e8%bd%a6/"
"西班牙志德科技","服务","Barcelona","Carrer juli galve brusson 71, 08918 Badalona, Barcelona,","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：电子科技。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/%e8%a5%bf%e7%8f%ad%e7%89%99%e5%bf%97%e5%be%b7%e7%a7%91%e6%8a%80/"
"马德里日本餐馆鱼匠 FISH ARTISAN","服务","Madrid","C/Ronda de cava 12, 45200, Illescas, Toledo","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：美食天地。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/%e9%a9%ac%e5%be%b7%e9%87%8c%e6%97%a5%e6%9c%ac%e9%a4%90%e9%a6%86%e9%b1%bc%e5%8c%a0-fish-artisan/"
"Restaurant Minamo Barcelona高级日本料理","服务","Barcelona","Carrer del Consell de Cent, 360,, 08009, Barcelona","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：美食天地。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/restaurant-minamo-barcelona%e9%ab%98%e7%ba%a7%e6%97%a5%e6%9c%ac%e6%96%99%e7%90%86/"
"马德里资深老牌医美诊所（专业老外医生+中文咨询师）","服务","Madrid","calle zurbano 39,1D, Madrid, Madrid","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：医疗保健。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/%e9%a9%ac%e5%be%b7%e9%87%8c%e8%b5%84%e6%b7%b1%e8%80%81%e7%89%8c%e5%8c%bb%e7%be%8e%e8%af%8a%e6%89%80%ef%bc%88%e4%b8%93%e4%b8%9a%e8%80%81%e5%a4%96%e5%8c%bb%e7%94%9f%e4%b8%ad%e6%96%87%e5%92%a8%e8%af%a2/"
"西班牙云图旅行","服务","Madrid","Plaza de España, 11, 28008 Madrid,","请商家认领后补充联系方式","平台代登记商家信息，商家待认领。服务范围：旅游出行。资料线索来自公开黄页 xinhua.es，具体营业时间、联系方式和详细介绍请商家认领后补充。","面议","xinhua.es","https://xinhua.es/item/%e8%a5%bf%e7%8f%ad%e7%89%99%e4%ba%91%e5%9b%be%e6%97%85%e8%a1%8c/"
